2026-04-30 21:27:19,296 - Suspicious traffic detected! | pps: 87.00 | avg_size: 1004.25 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:27:34,743 - Suspicious traffic detected! | pps: 76.00 | avg_size: 1137.91 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:27:58,763 - Suspicious traffic detected! | pps: 37.00 | avg_size: 1329.84 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:28:00,288 - Suspicious traffic detected! | pps: 2.00 | avg_size: 54.00 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:28:05,239 - Suspicious traffic detected! | pps: 123.00 | avg_size: 1432.78 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:28:06,251 - Suspicious traffic detected! | pps: 93.00 | avg_size: 636.34 | tcp_ratio: 0.95 | udp_ratio: 0.05
2026-04-30 21:28:07,250 - Suspicious traffic detected! | pps: 107.00 | avg_size: 623.98 | tcp_ratio: 0.97 | udp_ratio: 0.03
2026-04-30 21:28:09,677 - Suspicious traffic detected! | pps: 35.00 | avg_size: 1540.11 | tcp_ratio: 0.94 | udp_ratio: 0.06
2026-04-30 21:28:14,979 - Suspicious traffic detected! | pps: 51.00 | avg_size: 1280.53 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:28:19,296 - Suspicious traffic detected! | pps: 130.00 | avg_size: 900.99 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:28:20,687 - Suspicious traffic detected! | pps: 62.00 | avg_size: 1381.35 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:28:25,476 - Suspicious traffic detected! | pps: 139.00 | avg_size: 872.29 | tcp_ratio: 0.97 | udp_ratio: 0.03
2026-04-30 21:28:26,721 - Suspicious traffic detected! | pps: 81.00 | avg_size: 752.98 | tcp_ratio: 0.95 | udp_ratio: 0.05
2026-04-30 21:28:27,724 - Suspicious traffic detected! | pps: 255.00 | avg_size: 1233.91 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:28:31,253 - Suspicious traffic detected! | pps: 98.00 | avg_size: 1026.78 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:31:21,010 - Suspicious traffic detected! | pps: 133.00 | avg_size: 537.57 | tcp_ratio: 0.97 | udp_ratio: 0.03
2026-04-30 21:31:32,085 - Suspicious traffic detected! | pps: 173.00 | avg_size: 730.56 | tcp_ratio: 0.92 | udp_ratio: 0.08
2026-04-30 21:32:22,248 - Suspicious traffic detected! | pps: 222.00 | avg_size: 1112.09 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:32:34,280 - Suspicious traffic detected! | pps: 191.00 | avg_size: 1721.15 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:32:38,259 - Suspicious traffic detected! | pps: 85.00 | avg_size: 1031.19 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:32:42,857 - Suspicious traffic detected! | pps: 280.00 | avg_size: 1195.79 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:32:43,856 - Suspicious traffic detected! | pps: 283.00 | avg_size: 704.51 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:33:01,915 - Suspicious traffic detected! | pps: 164.00 | avg_size: 2393.36 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:33:02,954 - Suspicious traffic detected! | pps: 133.00 | avg_size: 1112.95 | tcp_ratio: 0.98 | udp_ratio: 0.02
2026-04-30 21:33:03,971 - Suspicious traffic detected! | pps: 192.00 | avg_size: 930.48 | tcp_ratio: 0.99 | udp_ratio: 0.01
2026-04-30 21:33:06,026 - Suspicious traffic detected! | pps: 123.00 | avg_size: 134.29 | tcp_ratio: 0.98 | udp_ratio: 0.02
2026-04-30 21:33:19,678 - Suspicious traffic detected! | pps: 123.00 | avg_size: 727.20 | tcp_ratio: 0.98 | udp_ratio: 0.02
2026-04-30 21:33:26,974 - Suspicious traffic detected! | pps: 137.00 | avg_size: 695.66 | tcp_ratio: 0.94 | udp_ratio: 0.06
2026-04-30 21:33:40,368 - Suspicious traffic detected! | pps: 142.00 | avg_size: 624.01 | tcp_ratio: 0.94 | udp_ratio: 0.06
2026-04-30 21:33:55,524 - Suspicious traffic detected! | pps: 267.00 | avg_size: 512.04 | tcp_ratio: 0.97 | udp_ratio: 0.03
2026-04-30 21:34:08,578 - Suspicious traffic detected! | pps: 60.00 | avg_size: 85.57 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:34:09,586 - Suspicious traffic detected! | pps: 56.00 | avg_size: 85.62 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:34:10,666 - Suspicious traffic detected! | pps: 66.00 | avg_size: 87.30 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:34:11,690 - Suspicious traffic detected! | pps: 62.00 | avg_size: 86.55 | tcp_ratio: 0.94 | udp_ratio: 0.06
2026-04-30 21:34:12,687 - Suspicious traffic detected! | pps: 61.00 | avg_size: 85.52 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:34:13,701 - Suspicious traffic detected! | pps: 56.00 | avg_size: 88.41 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:34:14,724 - Suspicious traffic detected! | pps: 64.00 | avg_size: 86.58 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:34:15,754 - Suspicious traffic detected! | pps: 53.00 | avg_size: 88.09 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:34:16,981 - Suspicious traffic detected! | pps: 53.00 | avg_size: 88.42 | tcp_ratio: 0.96 | udp_ratio: 0.04
2026-04-30 21:34:20,002 - Suspicious traffic detected! | pps: 67.00 | avg_size: 104.57 | tcp_ratio: 0.93 | udp_ratio: 0.07
2026-04-30 21:34:21,054 - Suspicious traffic detected! | pps: 56.00 | avg_size: 87.95 | tcp_ratio: 0.98 | udp_ratio: 0.02
2026-04-30 21:34:22,029 - Suspicious traffic detected! | pps: 64.00 | avg_size: 88.14 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:34:23,110 - Suspicious traffic detected! | pps: 58.00 | avg_size: 87.43 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:34:24,135 - Suspicious traffic detected! | pps: 56.00 | avg_size: 89.07 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:34:25,150 - Suspicious traffic detected! | pps: 60.00 | avg_size: 88.67 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:34:27,162 - Suspicious traffic detected! | pps: 61.00 | avg_size: 86.41 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:34:28,165 - Suspicious traffic detected! | pps: 56.00 | avg_size: 84.71 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:34:29,162 - Suspicious traffic detected! | pps: 86.00 | avg_size: 146.38 | tcp_ratio: 0.98 | udp_ratio: 0.02
2026-04-30 21:34:31,216 - Suspicious traffic detected! | pps: 65.00 | avg_size: 100.34 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:34:32,630 - Suspicious traffic detected! | pps: 77.00 | avg_size: 81.74 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-05-01 16:13:38,390 - Suspicious traffic detected! | pps: 115.00 | avg_size: 1052.80 | tcp_ratio: 0.98 | udp_ratio: 0.02
2026-05-01 16:13:55,895 - Suspicious traffic detected! | pps: 2530.00 | avg_size: 1212.15 | tcp_ratio: 0.98 | udp_ratio: 0.02
